ID,Lugar,Etapa,Mes,Fecha,Dia,Hora,Usuario,ID_barrio,Barrio1,comuna,Estrato,Hora1,hora_r
2174,SIN INFORMACION,INDAGACIÓN,enero,2020-01-25,sábado,22:00:00,PONAL_WS,1302.0,El Vergel,13,1,1900-01-01 22:00:00,22
2175,SIN INFORMACION,INDAGACIÓN,enero,2020-01-25,sábado,12:30:00,PONAL_WS,217.0,Ciudad de Los Álamos,2,3,1900-01-01 12:30:00,12
2176,SIN INFORMACION,INDAGACIÓN,enero,2020-01-26,domingo,05:00:00,PONAL_WS,1405.0,José Manuel Marroquín II,14,2,1900-01-01 05:00:00,5
2177,SIN INFORMACION,INDAGACIÓN,enero,2020-01-27,lunes,19:10:00,PONAL_WS,1905.0,Eucaristico,19,4,1900-01-01 19:10:00,19
2178,SIN INFORMACION,INDAGACIÓN,enero,2020-01-25,sábado,20:00:00,PONAL_WS,1922.0,Camino Real - Joaquin Borrero Sinisterra,19,5,1900-01-01 20:00:00,20
2179,SIN INFORMACION,INDAGACIÓN,enero,2020-01-26,domingo,04:30:00,PONAL_WS,1815.0,El Jordán,18,2,1900-01-01 04:30:00,4
2180,SIN INFORMACION,QUERELLABLE,enero,2020-01-26,domingo,21:20:00,PONAL_WS,1018.0,San Judas Tadeo II,10,3,1900-01-01 21:20:00,21
2181,SIN INFORMACION,INDAGACIÓN,enero,2020-01-03,viernes,17:00:00,PONAL_WS,1017.0,San Judas Tadeo I,10,3,1900-01-01 17:00:00,17
2182,SIN INFORMACION,INDAGACIÓN,enero,2020-01-27,lunes,18:30:00,PONAL_WS,306.0,San Juan Bosco,3,3,1900-01-01 18:30:00,18
2183,SIN INFORMACION,INDAGACIÓN,enero,2020-01-27,lunes,06:30:00,PONAL_WS,3000.0,Rural,30,2,1900-01-01 06:30:00,6
2184,SIN INFORMACION,INDAGACIÓN,enero,2020-01-26,domingo,09:00:00,PONAL_WS,1310.0,Villa del Lago,13,3,1900-01-01 09:00:00,9
2185,SIN INFORMACION,INDAGACIÓN,enero,2020-01-16,jueves,19:30:00,PONAL_WS,1780.0,El Ingenio,17,5,1900-01-01 19:30:00,20
2186,SIN INFORMACION,INDAGACIÓN,enero,2020-01-28,martes,08:00:00,PONAL_WS,1405.0,José Manuel Marroquín II,14,2,1900-01-01 08:00:00,8
2187,SIN INFORMACION,QUERELLABLE,enero,2020-01-27,lunes,15:00:00,PONAL_WS,311.0,San Pedro,3,3,1900-01-01 15:00:00,15
2188,SIN INFORMACION,INDAGACIÓN,enero,2020-01-28,martes,05:30:00,PONAL_WS,2103.0,Calimio Desepaz,21,1,1900-01-01 05:30:00,6
2189,SIN INFORMACION,INDAGACIÓN,enero,2020-01-27,lunes,19:40:00,PONAL_WS,1906.0,San Fernando Nuevo,19,4,1900-01-01 19:40:00,20
2190,SIN INFORMACION,INDAGACIÓN,enero,2020-01-26,domingo,22:30:00,PONAL_WS,1775.0,Lili,17,4,1900-01-01 22:30:00,22
2191,SIN INFORMACION,INDAGACIÓN,enero,2020-01-24,viernes,06:00:00,PONAL_WS,1212.0,Bello Horizonte,12,3,1900-01-01 06:00:00,6
2192,SIN INFORMACION,INDAGACIÓN,enero,2020-01-22,miércoles,16:00:00,PONAL_WS,310.0,El Calvario,3,3,1900-01-01 16:00:00,16
2193,SIN INFORMACION,INDAGACIÓN,enero,2020-01-27,lunes,07:30:00,PONAL_WS,306.0,San Juan Bosco,3,3,1900-01-01 07:30:00,8
2194,SIN INFORMACION,INDAGACIÓN,enero,2020-01-13,lunes,03:00:00,PONAL_WS,310.0,El Calvario,3,3,1900-01-01 03:00:00,3
