ID,Lugar,Etapa,Mes,Fecha,Dia,Hora,Usuario,ID_barrio,Barrio1,comuna,Estrato,Hora1,hora_r
0,VIA PUBLICA,EJECUCIÓN DE PENAS,enero,2020-01-01,miércoles,17:45:00,PLOZADA,1403.0,Manuela Beltran,14,1,1900-01-01 17:45:00,18
1,SIN INFORMACION,INDAGACIÓN,enero,2020-01-01,miércoles,08:30:00,PONAL_WS,1988.0,Cañaveralejo - Seguros Patria,19,5,1900-01-01 08:30:00,8
2,DOMICILIO,INDAGACIÓN,enero,2020-01-01,miércoles,02:00:00,CPANTOJAS1,1599.0,El Morichal,15,2,1900-01-01 02:00:00,2
3,DOMICILIO,INDAGACIÓN,enero,2020-01-01,miércoles,06:35:00,JVILLARREALM1,703.0,Alfonso Lopez III,7,3,1900-01-01 06:35:00,7
4,VIA PUBLICA,INDAGACIÓN,enero,2020-01-02,jueves,09:30:00,JVILLARREALM1,2008.0,Pueblo Joven,20,1,1900-01-01 09:30:00,10
5,DOMICILIO,INDAGACIÓN,enero,2020-01-01,miércoles,20:30:00,VAVILLEGAS,1783.0,Ciudad Capri,17,5,1900-01-01 20:30:00,20
6,CENTRO COMERCIAL,INDAGACIÓN,enero,2020-01-02,jueves,14:20:00,MPLAZA,311.0,San Pedro,3,3,1900-01-01 14:20:00,14
7,VIA PUBLICA,JUICIO,enero,2020-01-02,jueves,17:45:00,VIVCOLLA,1787.0,El Limonar,17,3,1900-01-01 17:45:00,18
8,DOMICILIO,EJECUCIÓN DE PENAS,enero,2020-01-02,jueves,15:35:00,HQUIÑONEZZ1,2003.0,Siloé,20,1,1900-01-01 15:35:00,16
9,LUGAR DE TRABAJO,INDAGACIÓN,enero,2020-01-02,jueves,00:00:00,LCALDERONR1,294.0,Vipasa,2,4,1900-01-01 00:00:00,0
10,OTRO,INDAGACIÓN,enero,2020-01-01,miércoles,09:00:00,HMONSALVEG1,2106.0,Desepaz Invicali,21,1,1900-01-01 09:00:00,9
11,DOMICILIO,INDAGACIÓN,enero,2020-01-02,jueves,05:48:00,HMONSALVEG1,1498.0,Promociones Populares B,14,1,1900-01-01 05:48:00,6
12,SIN INFORMACION,INDAGACIÓN,enero,2020-01-01,miércoles,00:00:00,PONAL_WS,405.0,Manzanares,4,3,1900-01-01 00:00:00,0
13,SIN INFORMACION,INDAGACIÓN,enero,2020-01-01,miércoles,08:30:00,PONAL_WS,303.0,San Antonio,3,3,1900-01-01 08:30:00,8
14,SIN INFORMACION,INDAGACIÓN,enero,2020-01-01,miércoles,06:00:00,PONAL_WS,804.0,Rafael Uribe Uribe,8,2,1900-01-01 06:00:00,6
15,SIN INFORMACION,INDAGACIÓN,enero,2020-01-01,miércoles,13:00:00,PONAL_WS,1013.0,Panamericano,10,3,1900-01-01 13:00:00,13
16,SIN INFORMACION,INDAGACIÓN,enero,2020-01-01,miércoles,03:30:00,PONAL_WS,412.0,Guillermo Valencia,4,2,1900-01-01 03:30:00,4
17,SIN INFORMACION,INDAGACIÓN,enero,2020-01-01,miércoles,20:30:00,PONAL_WS,1599.0,El Morichal,15,2,1900-01-01 20:30:00,20
18,SIN INFORMACION,INDAGACIÓN,enero,2020-01-01,miércoles,21:30:00,PONAL_WS,602.0,Jorge Eliécer Gaitán,6,2,1900-01-01 21:30:00,22
19,SIN INFORMACION,INDAGACIÓN,enero,2020-01-01,miércoles,03:00:00,PONAL_WS,908.0,Belalcázar,9,3,1900-01-01 03:00:00,3
20,SIN INFORMACION,INDAGACIÓN,enero,2020-01-01,miércoles,13:00:00,PONAL_WS,1803.0,Los Chorros,18,3,1900-01-01 13:00:00,13
21,SIN INFORMACION,QUERELLABLE,enero,2020-01-02,jueves,07:00:00,PONAL_WS,698.0,Sector Puente del Comercio,6,2,1900-01-01 07:00:00,7
22,SIN INFORMACION,INDAGACIÓN,enero,2020-01-01,miércoles,05:00:00,PONAL_WS,2106.0,Desepaz Invicali,21,1,1900-01-01 05:00:00,5
23,SIN INFORMACION,QUERELLABLE,enero,2020-01-01,miércoles,11:30:00,PONAL_WS,101.0,Terrón Colorado,1,2,1900-01-01 11:30:00,12
24,SIN INFORMACION,INDAGACIÓN,enero,2020-01-01,miércoles,21:30:00,PONAL_WS,1305.0,Los Comuneros II Etapa,13,2,1900-01-01 21:30:00,22
25,SIN INFORMACION,INDAGACIÓN,enero,2020-01-01,miércoles,19:00:00,PONAL_WS,903.0,Junín,9,3,1900-01-01 19:00:00,19
26,SIN INFORMACION,INDAGACIÓN,enero,2020-01-02,jueves,08:00:00,PONAL_WS,3000.0,Rural,30,2,1900-01-01 08:00:00,8
27,SIN INFORMACION,INDAGACIÓN,enero,2020-01-01,miércoles,04:00:00,PONAL_WS,502.0,Los Andes,5,3,1900-01-01 04:00:00,4
28,SIN INFORMACION,INDAGACIÓN,enero,2020-01-01,miércoles,01:00:00,PONAL_WS,205.0,Juanambú,2,5,1900-01-01 01:00:00,1
29,SIN INFORMACION,INDAGACIÓN,enero,2020-01-01,miércoles,03:30:00,PONAL_WS,1810.0,Mario Correa Rengifo,18,2,1900-01-01 03:30:00,4
30,SIN INFORMACION,INDAGACIÓN,enero,2020-01-01,miércoles,18:00:00,PONAL_WS,1780.0,El Ingenio,17,5,1900-01-01 18:00:00,18
31,SIN INFORMACION,INDAGACIÓN,enero,2020-01-01,miércoles,19:30:00,PONAL_WS,2107.0,Compartir,21,2,1900-01-01 19:30:00,20
32,SIN INFORMACION,INDAGACIÓN,enero,2020-01-01,miércoles,08:00:00,PONAL_WS,1009.0,Cristóbal Colón,10,3,1900-01-01 08:00:00,8
33,SIN INFORMACION,INDAGACIÓN,enero,2020-01-01,miércoles,11:20:00,PONAL_WS,1015.0,San Cristóbal,10,3,1900-01-01 11:20:00,11
34,SIN INFORMACION,INDAGACIÓN,enero,2020-01-02,jueves,07:00:00,PONAL_WS,1903.0,El Lido,19,5,1900-01-01 07:00:00,7
35,SIN INFORMACION,INDAGACIÓN,enero,2020-01-01,miércoles,18:00:00,PONAL_WS,311.0,San Pedro,3,3,1900-01-01 18:00:00,18
36,SIN INFORMACION,INDAGACIÓN,enero,2020-01-01,miércoles,13:00:00,PONAL_WS,1803.0,Los Chorros,18,3,1900-01-01 13:00:00,13
37,SIN INFORMACION,INDAGACIÓN,enero,2020-01-01,miércoles,16:30:00,PONAL_WS,211.0,Prados del Norte,2,5,1900-01-01 16:30:00,16
38,SIN INFORMACION,INDAGACIÓN,enero,2020-01-02,jueves,10:00:00,PONAL_WS,311.0,San Pedro,3,3,1900-01-01 10:00:00,10
39,SIN INFORMACION,INDAGACIÓN,enero,2020-01-02,jueves,10:00:00,PONAL_WS,1109.0,Aguablanca,11,3,1900-01-01 10:00:00,10
40,SIN INFORMACION,INDAGACIÓN,enero,2020-01-02,jueves,10:30:00,PONAL_WS,903.0,Junín,9,3,1900-01-01 10:30:00,10
41,SIN INFORMACION,QUERELLABLE,enero,2020-01-01,miércoles,20:30:00,PONAL_WS,1994.0,Pampa Linda,19,5,1900-01-01 20:30:00,20
42,SIN INFORMACION,INDAGACIÓN,enero,2020-01-01,miércoles,10:00:00,PONAL_WS,908.0,Belalcázar,9,3,1900-01-01 10:00:00,10
43,VIA PUBLICA,INDAGACIÓN,enero,2020-01-02,jueves,16:00:00,VIVCOLLA,1775.0,Lili,17,4,1900-01-01 16:00:00,16
44,DOMICILIO,INDAGACIÓN,enero,2020-01-02,jueves,19:00:00,SCONTRERASR1,210.0,Santa Mónica,2,5,1900-01-01 19:00:00,19
45,VIA PUBLICA,INDAGACIÓN,enero,2020-01-02,jueves,20:06:00,JVILLARREALM1,1910.0,San Fernando Viejo,19,5,1900-01-01 20:06:00,20
46,DOMICILIO,INDAGACIÓN,enero,2020-01-03,viernes,08:15:00,LCRUZB1,1207.0,Nueva Floresta,12,3,1900-01-01 08:15:00,8
47,ESTABLECIMIENTO DE MENSAJERIA,INDAGACIÓN,enero,2020-01-03,viernes,03:15:00,SVALENCIA1,1912.0,3 de Julio,19,4,1900-01-01 03:15:00,3
48,DOMICILIO,INDAGACIÓN,enero,2020-01-02,jueves,20:45:00,JVILLARREALM1,1102.0,Maracaibo,11,3,1900-01-01 20:45:00,21
49,VIA PUBLICA,INDAGACIÓN,enero,2020-01-03,viernes,11:35:00,JVILLARREALM1,698.0,Sector Puente del Comercio,6,2,1900-01-01 11:35:00,12
50,VIA PUBLICA,INDAGACIÓN,enero,2020-01-02,jueves,04:00:00,JVILLARREALM1,1313.0,Charco Azul,13,1,1900-01-01 04:00:00,4
51,VIA PUBLICA,INDAGACIÓN,enero,2020-01-03,viernes,17:30:00,MPLAZA,599.0,Villa del Prado - El Guabito,5,3,1900-01-01 17:30:00,18
52,CAMPO ABIERTO,JUICIO,enero,2020-01-03,viernes,17:00:00,JORTIZO2,1116.0,León XIII,11,2,1900-01-01 17:00:00,17
53,LUGAR DE TRABAJO,INDAGACIÓN,enero,2020-01-01,miércoles,12:30:00,BCABALLERO,312.0,San Nicolás,3,2,1900-01-01 12:30:00,12
54,OTRO,INDAGACIÓN,enero,2020-01-03,viernes,00:00:00,DRODRIGUEZV4,1915.0,Urbanización Colseguros,19,4,1900-01-01 00:00:00,0
55,VEHICULO,INDAGACIÓN,enero,2020-01-01,miércoles,18:00:00,JDURANH1,594.0,Los Parques - Barranquilla,5,3,1900-01-01 18:00:00,18
56,SIN INFORMACION,INDAGACIÓN,enero,2020-01-01,miércoles,19:00:00,YCASTRILLON,2106.0,Desepaz Invicali,21,1,1900-01-01 19:00:00,19
57,SIN INFORMACION,INDAGACIÓN,enero,2020-01-01,miércoles,07:30:00,F3LHURTADO,2198.0,Valle Grande,21,2,1900-01-01 07:30:00,8
58,SIN INFORMACION,INDAGACIÓN,enero,2020-01-03,viernes,05:50:00,DMUÑOZV4,404.0,Las Delicas,4,3,1900-01-01 05:50:00,6
59,SIN INFORMACION,INDAGACIÓN,enero,2020-01-02,jueves,20:30:00,F3LHURTADO,1604.0,Antonio Nariño,16,2,1900-01-01 20:30:00,20
60,SIN INFORMACION,INDAGACIÓN,enero,2020-01-03,viernes,13:30:00,F3LHURTADO,212.0,La Flora,2,5,1900-01-01 13:30:00,14
61,SIN INFORMACION,INDAGACIÓN,enero,2020-01-01,miércoles,01:00:00,HMUÑOZ1,2104.0,El Remanso,21,1,1900-01-01 01:00:00,1
62,SIN INFORMACION,INDAGACIÓN,enero,2020-01-02,jueves,04:00:00,PONAL_WS,1495.0,Puerta del Sol,14,1,1900-01-01 04:00:00,4
63,SIN INFORMACION,INDAGACIÓN,enero,2020-01-02,jueves,01:00:00,PONAL_WS,1504.0,Vallado,15,2,1900-01-01 01:00:00,1
64,SIN INFORMACION,INDAGACIÓN,enero,2020-01-01,miércoles,11:00:00,PONAL_WS,701.0,Alfonso Lopez I,7,2,1900-01-01 11:00:00,11
65,SIN INFORMACION,INDAGACIÓN,enero,2020-01-02,jueves,22:00:00,PONAL_WS,1890.0,Sector Alto de los Chorros,18,1,1900-01-01 22:00:00,22
66,SIN INFORMACION,INDAGACIÓN,enero,2020-01-01,miércoles,06:00:00,PONAL_WS,1781.0,Mayapan - Las Vegas,17,5,1900-01-01 06:00:00,6
67,SIN INFORMACION,INDAGACIÓN,enero,2020-01-01,miércoles,10:00:00,PONAL_WS,1310.0,Villa del Lago,13,3,1900-01-01 10:00:00,10
68,SIN INFORMACION,INDAGACIÓN,enero,2020-01-03,viernes,08:30:00,PONAL_WS,818.0,Urbanización La Base,8,3,1900-01-01 08:30:00,8
69,SIN INFORMACION,INDAGACIÓN,enero,2020-01-02,jueves,11:30:00,PONAL_WS,1211.0,Sindical,12,3,1900-01-01 11:30:00,12
70,SIN INFORMACION,INDAGACIÓN,enero,2020-01-02,jueves,21:30:00,PONAL_WS,1596.0,Ciudad Cordoba,15,3,1900-01-01 21:30:00,22
71,SIN INFORMACION,INDAGACIÓN,enero,2020-01-02,jueves,07:00:00,PONAL_WS,609.0,Petecuy III,6,2,1900-01-01 07:00:00,7
72,SIN INFORMACION,INDAGACIÓN,enero,2020-01-03,viernes,11:00:00,PONAL_WS,1903.0,El Lido,19,5,1900-01-01 11:00:00,11
73,SIN INFORMACION,INDAGACIÓN,enero,2020-01-01,miércoles,05:30:00,PONAL_WS,1301.0,Ulpiano Lloreda,13,2,1900-01-01 05:30:00,6
74,SIN INFORMACION,INDAGACIÓN,enero,2020-01-01,miércoles,22:00:00,PONAL_WS,3000.0,Rural,30,2,1900-01-01 22:00:00,22
75,SIN INFORMACION,QUERELLABLE,enero,2020-01-01,miércoles,20:00:00,PONAL_WS,1909.0,Bellavista,19,2,1900-01-01 20:00:00,20
76,SIN INFORMACION,INDAGACIÓN,enero,2020-01-01,miércoles,05:00:00,PONAL_WS,1915.0,Urbanización Colseguros,19,4,1900-01-01 05:00:00,5
77,SIN INFORMACION,INDAGACIÓN,enero,2020-01-02,jueves,07:00:00,PONAL_WS,1207.0,Nueva Floresta,12,3,1900-01-01 07:00:00,7
78,SIN INFORMACION,INDAGACIÓN,enero,2020-01-01,miércoles,22:30:00,PONAL_WS,1909.0,Bellavista,19,2,1900-01-01 22:30:00,22
79,SIN INFORMACION,INDAGACIÓN,enero,2020-01-01,miércoles,18:00:00,PONAL_WS,710.0,Las Ceibas,7,3,1900-01-01 18:00:00,18
80,SIN INFORMACION,INDAGACIÓN,enero,2020-01-01,miércoles,08:00:00,PONAL_WS,1775.0,Lili,17,4,1900-01-01 08:00:00,8
81,VIA PUBLICA,INDAGACIÓN,enero,2020-01-03,viernes,20:15:00,JVILLARREALM1,1398.0,El Pondaje,13,2,1900-01-01 20:15:00,20
82,VIA PUBLICA,INDAGACIÓN,enero,2020-01-03,viernes,20:40:00,JVILLARREALM1,404.0,Las Delicas,4,3,1900-01-01 20:40:00,21
83,VIA PUBLICA,INDAGACIÓN,enero,2020-01-01,miércoles,21:30:00,SCONTRERASR1,1009.0,Cristóbal Colón,10,3,1900-01-01 21:30:00,22
84,VIA PUBLICA,INDAGACIÓN,enero,2020-01-03,viernes,20:00:00,JVILLARREALM1,1602.0,República de Israel,16,2,1900-01-01 20:00:00,20
85,VIA PUBLICA,INDAGACIÓN,enero,2020-01-04,sábado,02:30:00,JVILLARREALM1,903.0,Junín,9,3,1900-01-01 02:30:00,2
86,CENTRO COMERCIAL,INDAGACIÓN,enero,2020-01-04,sábado,13:30:00,PLOZADA,218.0,Chipichape,2,4,1900-01-01 13:30:00,14
87,DOMICILIO,INDAGACIÓN,enero,2020-01-03,viernes,22:00:00,JVILLARREALM1,698.0,Sector Puente del Comercio,6,2,1900-01-01 22:00:00,22
88,OTRO,INDAGACIÓN,enero,2020-01-04,sábado,13:20:00,MBELTRANM1,1782.0,Las Quintas de Don Simón,17,5,1900-01-01 13:20:00,13
89,ESTABLECIMIENTO DE COMERCIO,INDAGACIÓN,enero,2020-01-04,sábado,17:05:00,RROMO,1906.0,San Fernando Nuevo,19,4,1900-01-01 17:05:00,17
90,LUGAR DE TRABAJO,INDAGACIÓN,enero,2020-01-02,jueves,17:00:00,MPADILLAD1,1910.0,San Fernando Viejo,19,5,1900-01-01 17:00:00,17
91,OTRO,INDAGACIÓN,enero,2020-01-01,miércoles,03:50:00,DRAMIKREZ,907.0,Santa Mónica Belalcázar,9,3,1900-01-01 03:50:00,4
92,SIN INFORMACION,INDAGACIÓN,enero,2020-01-03,viernes,10:00:00,PONAL_WS,219.0,Brisas de Los Álamos,2,3,1900-01-01 10:00:00,10
93,SIN INFORMACION,INDAGACIÓN,enero,2020-01-02,jueves,01:00:00,PONAL_WS,211.0,Prados del Norte,2,5,1900-01-01 01:00:00,1
94,SIN INFORMACION,QUERELLABLE,enero,2020-01-01,miércoles,11:30:00,PONAL_WS,1207.0,Nueva Floresta,12,3,1900-01-01 11:30:00,12
95,SIN INFORMACION,INDAGACIÓN,enero,2020-01-01,miércoles,14:00:00,PONAL_WS,312.0,San Nicolás,3,2,1900-01-01 14:00:00,14
96,PARQUEADERO,INDAGACIÓN,enero,2020-01-01,miércoles,22:00:00,PONAL_WS,1910.0,San Fernando Viejo,19,5,1900-01-01 22:00:00,22
97,SIN INFORMACION,INDAGACIÓN,enero,2020-01-01,miércoles,05:00:00,PONAL_WS,3000.0,Rural,30,2,1900-01-01 05:00:00,5
98,SIN INFORMACION,INDAGACIÓN,enero,2020-01-02,jueves,03:00:00,PONAL_WS,1919.0,Cuarto de Legua - Guadalupe,19,5,1900-01-01 03:00:00,3
99,SIN INFORMACION,INDAGACIÓN,enero,2020-01-02,jueves,12:00:00,PONAL_WS,1102.0,Maracaibo,11,3,1900-01-01 12:00:00,12
100,SIN INFORMACION,INDAGACIÓN,enero,2020-01-01,miércoles,05:00:00,PONAL_WS,906.0,Manuel María Buenaventura,9,3,1900-01-01 05:00:00,5
101,SIN INFORMACION,INDAGACIÓN,enero,2020-01-02,jueves,12:30:00,PONAL_WS,406.0,Salomia,4,3,1900-01-01 12:30:00,12
102,SIN INFORMACION,INDAGACIÓN,enero,2020-01-02,jueves,02:00:00,PONAL_WS,1813.0,Alférez Real,18,3,1900-01-01 02:00:00,2
103,SIN INFORMACION,INDAGACIÓN,enero,2020-01-01,miércoles,02:00:00,PONAL_WS,303.0,San Antonio,3,3,1900-01-01 02:00:00,2
104,SIN INFORMACION,QUERELLABLE,enero,2020-01-01,miércoles,08:00:00,PONAL_WS,1114.0,Villa del Sur,11,3,1900-01-01 08:00:00,8
105,SIN INFORMACION,INDAGACIÓN,enero,2020-01-01,miércoles,14:00:00,PONAL_WS,1208.0,Julio Rincón,12,2,1900-01-01 14:00:00,14
106,SIN INFORMACION,INDAGACIÓN,enero,2020-01-02,jueves,19:00:00,PONAL_WS,904.0,Guayaquil,9,3,1900-01-01 19:00:00,19
107,DOMICILIO,INDAGACIÓN,enero,2020-01-04,sábado,23:30:00,LCRUZB1,1101.0,Barrio San Carlos,11,3,1900-01-01 23:30:00,0
108,VIA PUBLICA,EJECUCIÓN DE PENAS,enero,2020-01-04,sábado,23:40:00,LCRUZB1,609.0,Petecuy III,6,2,1900-01-01 23:40:00,0
109,VIA PUBLICA,INDAGACIÓN,enero,2020-01-04,sábado,14:00:00,JVILLARREALM1,210.0,Santa Mónica,2,5,1900-01-01 14:00:00,14
110,ESTABLECIMIENTO PUBLICO,INDAGACIÓN,enero,2020-01-04,sábado,14:08:00,DNEIRAN1,805.0,Santa Mónica Popular,8,3,1900-01-01 14:08:00,14
111,VIA PUBLICA,INDAGACIÓN,enero,2020-01-04,sábado,13:30:00,JVILLARREALM1,1113.0,Los Sauces,11,3,1900-01-01 13:30:00,14
112,VIA PUBLICA,INDAGACIÓN,enero,2020-01-03,viernes,21:30:00,JVILLARREALM1,1921.0,Nueva Tequendama,19,5,1900-01-01 21:30:00,22
113,DOMICILIO,INDAGACIÓN,enero,2020-01-02,jueves,19:55:00,JVILLARREALM1,406.0,Salomia,4,3,1900-01-01 19:55:00,20
114,VIA PUBLICA,JUICIO,enero,2020-01-05,domingo,08:45:00,VIVCOLLA,1403.0,Manuela Beltran,14,1,1900-01-01 08:45:00,9
115,ESTABLECIMIENTO DE COMERCIO,INDAGACIÓN,enero,2020-01-05,domingo,07:50:00,VIVCOLLA,1804.0,Meléndez,18,3,1900-01-01 07:50:00,8
116,DOMICILIO,INDAGACIÓN,enero,2020-01-05,domingo,10:10:00,SISA,1012.0,Pasoancho,10,4,1900-01-01 10:10:00,10
117,ESTABLECIMIENTO DE COMERCIO,INVESTIGACIÓN,enero,2020-01-05,domingo,10:30:00,VIVCOLLA,1780.0,El Ingenio,17,5,1900-01-01 10:30:00,10
118,DOMICILIO,INDAGACIÓN,enero,2020-01-04,sábado,19:00:00,DNEIRAN1,597.0,Los Andes B - La Riviera,5,3,1900-01-01 19:00:00,19
119,VIA PUBLICA,INDAGACIÓN,enero,2020-01-03,viernes,21:30:00,ECEBALLOS1,703.0,Alfonso Lopez III,7,3,1900-01-01 21:30:00,22
120,VIA PUBLICA,INDAGACIÓN,enero,2020-01-05,domingo,00:15:00,ECEBALLOS1,1102.0,Maracaibo,11,3,1900-01-01 00:15:00,0
121,VIA PUBLICA,INDAGACIÓN,enero,2020-01-04,sábado,22:15:00,ECEBALLOS1,710.0,Las Ceibas,7,3,1900-01-01 22:15:00,22
122,CENTRO COMERCIAL,INDAGACIÓN,enero,2020-01-05,domingo,14:25:00,VIVCOLLA,1791.0,Unicentro Cali,17,5,1900-01-01 14:25:00,14
123,VIA PUBLICA,INDAGACIÓN,enero,2020-01-04,sábado,20:44:00,ECEBALLOS1,296.0,Altos de Menga,2,1,1900-01-01 20:44:00,21
124,ESTABLECIMIENTO DE COMERCIO,INDAGACIÓN,enero,2020-01-05,domingo,16:45:00,VIVCOLLA,798.0,Fepicol,7,3,1900-01-01 16:45:00,17
125,DOMICILIO,INDAGACIÓN,enero,2020-01-05,domingo,19:15:00,PLOZADA,1016.0,Las Granjas,10,3,1900-01-01 19:15:00,19
126,VIA PUBLICA,INDAGACIÓN,enero,2020-01-04,sábado,20:40:00,MPADILLAD1,2197.0,Ciudadela del Rio - CVC,21,2,1900-01-01 20:40:00,21
127,SIN INFORMACION,INDAGACIÓN,enero,2020-01-04,sábado,02:30:00,PONAL_WS,3000.0,Rural,30,2,1900-01-01 02:30:00,2
128,SIN INFORMACION,INDAGACIÓN,enero,2020-01-03,viernes,15:30:00,PONAL_WS,1904.0,Urbanización Tequendama,19,5,1900-01-01 15:30:00,16
129,SIN INFORMACION,INDAGACIÓN,enero,2020-01-02,jueves,19:00:00,PONAL_WS,311.0,San Pedro,3,3,1900-01-01 19:00:00,19
130,SIN INFORMACION,INDAGACIÓN,enero,2020-01-02,jueves,14:00:00,PONAL_WS,2003.0,Siloé,20,1,1900-01-01 14:00:00,14
131,SIN INFORMACION,INDAGACIÓN,enero,2020-01-02,jueves,04:30:00,PONAL_WS,1303.0,El Poblado,13,2,1900-01-01 04:30:00,4
132,SIN INFORMACION,INDAGACIÓN,enero,2020-01-02,jueves,12:30:00,PONAL_WS,817.0,La Base,8,3,1900-01-01 12:30:00,12
133,SIN INFORMACION,INDAGACIÓN,enero,2020-01-02,jueves,07:30:00,PONAL_WS,206.0,Centenario,2,5,1900-01-01 07:30:00,8
134,SIN INFORMACION,INDAGACIÓN,enero,2020-01-02,jueves,11:50:00,PONAL_WS,1891.0,Polvorines,18,2,1900-01-01 11:50:00,12
135,SIN INFORMACION,INDAGACIÓN,enero,2020-01-02,jueves,02:30:00,PONAL_WS,294.0,Vipasa,2,4,1900-01-01 02:30:00,2
136,SIN INFORMACION,INDAGACIÓN,enero,2020-01-02,jueves,17:30:00,PONAL_WS,311.0,San Pedro,3,3,1900-01-01 17:30:00,18
137,SIN INFORMACION,INDAGACIÓN,enero,2020-01-01,miércoles,12:00:00,PONAL_WS,1013.0,Panamericano,10,3,1900-01-01 12:00:00,12
138,SIN INFORMACION,QUERELLABLE,enero,2020-01-01,miércoles,22:00:00,PONAL_WS,305.0,Los Libertadores,3,3,1900-01-01 22:00:00,22
139,SIN INFORMACION,INDAGACIÓN,enero,2020-01-02,jueves,18:00:00,PONAL_WS,497.0,La Alianza,4,3,1900-01-01 18:00:00,18
140,SIN INFORMACION,QUERELLABLE,enero,2020-01-02,jueves,09:00:00,PONAL_WS,404.0,Las Delicas,4,3,1900-01-01 09:00:00,9
141,SIN INFORMACION,INDAGACIÓN,enero,2020-01-01,miércoles,06:30:00,PONAL_WS,1404.0,Las Orquídeas,14,1,1900-01-01 06:30:00,6
142,SIN INFORMACION,INDAGACIÓN,enero,2020-01-02,jueves,21:30:00,PONAL_WS,1306.0,Ricardo Balcazar,13,2,1900-01-01 21:30:00,22
143,VIA PUBLICA,INDAGACIÓN,enero,2020-01-05,domingo,18:00:00,ECEBALLOS1,1017.0,San Judas Tadeo I,10,3,1900-01-01 18:00:00,18
144,DOMICILIO,INDAGACIÓN,enero,2020-01-03,viernes,09:00:00,JVILLARREALM1,2197.0,Ciudadela del Rio - CVC,21,2,1900-01-01 09:00:00,9
145,DOMICILIO,INDAGACIÓN,enero,2020-01-05,domingo,13:30:00,SVALENCIA1,1697.0,Ciudad 2000,16,4,1900-01-01 13:30:00,14
146,VIA PUBLICA,INDAGACIÓN,enero,2020-01-06,lunes,10:15:00,JVILLARREALM1,710.0,Las Ceibas,7,3,1900-01-01 10:15:00,10
147,VIA PUBLICA,INDAGACIÓN,enero,2020-01-03,viernes,17:00:00,LCALDERONR1,1914.0,Champagnat,19,4,1900-01-01 17:00:00,17
148,TERMINAL DE TRANSPORTE,INDAGACIÓN,enero,2020-01-06,lunes,04:30:00,BCABALLERO,211.0,Prados del Norte,2,5,1900-01-01 04:30:00,4
149,SIN INFORMACION,INDAGACIÓN,enero,2020-01-04,sábado,02:00:00,PONAL_WS,1599.0,El Morichal,15,2,1900-01-01 02:00:00,2
150,SIN INFORMACION,INDAGACIÓN,enero,2020-01-03,viernes,11:00:00,PONAL_WS,1917.0,El Mortiñal,19,2,1900-01-01 11:00:00,11
151,SIN INFORMACION,INDAGACIÓN,enero,2020-01-02,jueves,18:30:00,PONAL_WS,1803.0,Los Chorros,18,3,1900-01-01 18:30:00,18
152,SIN INFORMACION,INDAGACIÓN,enero,2020-01-02,jueves,19:50:00,PONAL_WS,1907.0,Urbanización Nueva Granada,19,4,1900-01-01 19:50:00,20
153,SIN INFORMACION,QUERELLABLE,enero,2020-01-02,jueves,23:30:00,PONAL_WS,1790.0,El Gran Limonar,17,5,1900-01-01 23:30:00,0
154,SIN INFORMACION,INDAGACIÓN,enero,2020-01-02,jueves,19:30:00,PONAL_WS,1403.0,Manuela Beltran,14,1,1900-01-01 19:30:00,20
155,VIA PUBLICA,JUICIO,enero,2020-01-07,martes,14:30:00,RPEREZL1,3000.0,Rural,30,2,1900-01-01 14:30:00,14
156,DOMICILIO,INDAGACIÓN,enero,2020-01-05,domingo,07:00:00,JVILLARREALM1,602.0,Jorge Eliécer Gaitán,6,2,1900-01-01 07:00:00,7
157,ENTIDAD FINANCIERA,INDAGACIÓN,enero,2020-01-07,martes,10:12:00,LCRUZB1,810.0,El Troncal,8,3,1900-01-01 10:12:00,10
158,VIA PUBLICA,INDAGACIÓN,enero,2020-01-06,lunes,21:00:00,ESAA,602.0,Jorge Eliécer Gaitán,6,2,1900-01-01 21:00:00,21
159,VIA PUBLICA,INDAGACIÓN,enero,2020-01-05,domingo,20:20:00,ESAA,702.0,Alfonso Lopez II,7,3,1900-01-01 20:20:00,20
160,VIA PUBLICA,INDAGACIÓN,enero,2020-01-03,viernes,21:00:00,JVILLARREALM1,3000.0,Rural,30,2,1900-01-01 21:00:00,21
161,VIA PUBLICA,EJECUCIÓN DE PENAS,enero,2020-01-07,martes,11:10:00,LCRUZB1,1599.0,El Morichal,15,2,1900-01-01 11:10:00,11
162,VIA PUBLICA,INDAGACIÓN,enero,2020-01-03,viernes,15:30:00,ESAA,1811.0,Lourdes,18,2,1900-01-01 15:30:00,16
163,VIA PUBLICA,INDAGACIÓN,enero,2020-01-04,sábado,17:31:00,YMEZA,304.0,San Cayetano,3,3,1900-01-01 17:31:00,18
164,VIA PUBLICA,INDAGACIÓN,enero,2020-01-06,lunes,17:45:00,YMEZA,1106.0,El Jardín,11,3,1900-01-01 17:45:00,18
165,DOMICILIO,INDAGACIÓN,enero,2020-01-07,martes,14:20:00,YMEZA,1205.0,El Paraíso,12,3,1900-01-01 14:20:00,14
166,VIA PUBLICA,JUICIO,enero,2020-01-07,martes,13:43:00,MPLAZA,1008.0,Olímpico,10,4,1900-01-01 13:43:00,14
167,DOMICILIO,INDAGACIÓN,enero,2020-01-05,domingo,00:00:00,DRODRIGUEZV4,312.0,San Nicolás,3,2,1900-01-01 00:00:00,0
